Epoch [188] | Time: 12.2873480s | Clustering Loss: 0.4071395 | ResNet Loss: 0.0026118
####################### 
Epoch [189] | Time: 12.3103364s | Clustering Loss: 0.3529999 | ResNet Loss: 0.0026011
####################### 
Epoch [190] | Time: 12.2938333s | Clustering Loss: 0.4493205 | ResNet Loss: 0.0025846
####################### 
Epoch [191] | Time: 12.2586262s | Clustering Loss: 0.4566612 | ResNet Loss: 0.0025704
####################### 
Epoch [192] | Time: 12.2967052s | Clustering Loss: 0.4187722 | ResNet Loss: 0.0025583
####################### 
Epoch [193] | Time: 12.2741170s | Clustering Loss: 0.3923002 | ResNet Loss: 0.0025450
####################### 
Epoch [194] | Time: 12.2868886s | Clustering Loss: 0.3959564 | ResNet Loss: 0.0025319
####################### 
Epoch [195] | Time: 12.2970808s | Clustering Loss: 0.4431204 | ResNet Loss: 0.0025197
####################### 
Epoch [196] | Time: 12.2860732s | Clustering Loss: 0.3418163 | ResNet Loss: 0.0025053
####################### 
Epoch [197] | Time: 12.2908654s | Clustering Loss: 0.3821473 | ResNet Loss: 0.0024929
####################### 
Epoch [198] | Time: 12.2928653s | Clustering Loss: 0.4110865 | ResNet Loss: 0.0024824
####################### 
Epoch [199] | Time: 12.2938354s | Clustering Loss: 0.4136459 | ResNet Loss: 0.0024698
####################### 
Epoch [200] | Time: 12.2946630s | Clustering Loss: 0.3737836 | ResNet Loss: 0.0024563
####################### 
Epoch [201] | Time: 12.3118742s | Clustering Loss: 0.4699630 | ResNet Loss: 0.0024446
####################### 
Epoch [202] | Time: 12.2693572s | Clustering Loss: 0.4782945 | ResNet Loss: 0.0024305
####################### 
Epoch [203] | Time: 12.2865701s | Clustering Loss: 0.4295290 | ResNet Loss: 0.0024199
####################### 
Epoch [204] | Time: 12.2844424s | Clustering Loss: 0.3952026 | ResNet Loss: 0.0024083
####################### 
Epoch [205] | Time: 12.2999873s | Clustering Loss: 0.5167670 | ResNet Loss: 0.0023963
####################### 
Epoch [206] | Time: 12.3018961s | Clustering Loss: 0.4586690 | ResNet Loss: 0.0023848
####################### 
Epoch [207] | Time: 12.2885733s | Clustering Loss: 0.3762174 | ResNet Loss: 0.0023732
####################### 
Epoch [208] | Time: 12.2976868s | Clustering Loss: 0.4006077 | ResNet Loss: 0.0023625
####################### 
Epoch [209] | Time: 12.3149178s | Clustering Loss: 0.4177347 | ResNet Loss: 0.0023501
####################### 
Epoch [210] | Time: 12.2960818s | Clustering Loss: 0.4199150 | ResNet Loss: 0.0023395
####################### 
Epoch [211] | Time: 12.2722251s | Clustering Loss: 0.3992784 | ResNet Loss: 0.0023296
####################### 
Epoch [212] | Time: 12.2771554s | Clustering Loss: 0.4471425 | ResNet Loss: 0.0023172
####################### 
Epoch [213] | Time: 12.2732675s | Clustering Loss: 0.4240618 | ResNet Loss: 0.0023073
####################### 
Epoch [214] | Time: 12.2786036s | Clustering Loss: 0.4428092 | ResNet Loss: 0.0022957
####################### 
Epoch [215] | Time: 12.2717407s | Clustering Loss: 0.4520617 | ResNet Loss: 0.0022869
####################### 
Epoch [216] | Time: 12.2729445s | Clustering Loss: 0.4504322 | ResNet Loss: 0.0022766
####################### 
